Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2;Rješavanje problema;Puko pamćenje činjenica;Indikator 3;Mutiperspektivni pristup;Pristup jedne perspektive;Indikator 4 ;Diferencirani prikazi;Stereotipni prikazi
33;NI/ZS;Vjeronauka;B;6;V10;Prilike u kojima se obraćam Bogu;Da;neravnopravnost NI-109-1;Ne;;Ne;;;2;;ZS-109, NI-109-2;2;;ZS-108, NI-108-1, NI-108-2, NI-109-4;2;;NI-108-3;2;;NI-108-4, NI-109-3
34;NI/ZS;Vjeronauka;B;6;V10;Allah kojeg moje srce voli - Namaz - doživljaj izuzetne vrijednosti;Ne;;Ne;;Ne;;;2;;ZS-110, NI-111-2, NI-111-3;2;;ZS-112, NI-110, NI-111-1, NI-112-1;2;;NI-112-2;0;;
35;NI/ZS;Vjeronauka;B;6;V10;Mjesta hvaljenja i slavljenja Stvoritelja;Ne;;Ne;;Ne;;;0;;;2;;ZS-115, ZS-116a, NI-115;0;;;0;;
36;NI/ZS;Vjeronauka;B;6;V10;Mjesta za molitvu u prirodi - Mjesta za molitvu drugih;Ne;;Da;saradnja ZS-117-a, sloboda, odgovornost NI-117-1;Da;pobožnost NI-117-5;redukcija;2;;NI-117-3;2;NI-118-3;ZS-117-b, ZS-118-a, NI-117-2, NI-118-1, NI-118-2;0;;;0;;
37;NI/ZS;Vjeronauka;B;6;V10;Kad sunce dostigne svoj vrhunac - Podne namaz;Ne;;Ne;;Ne;;;2;;ZS-121;2;;NI-119-1, NI-119-2;0;;;0;;
38;NI/ZS;Vjeronauka;B;6;V10;Putnik sebi konak traži (ilahija);Ne;;Ne;;Ne;;;0;;;2;;ZS-122, NI-122;0;;;0;;
39;NI/ZS;Vjeronauka;B;6;V10;Kako je nastao hidžretski kalendar;Ne;;Ne;;Ne;;;2;;NI-123-1, NI-124-2;2;;ZS-123, ZS-124, NI-123-1, NI-124-1;0;;;0;;
40;NI/ZS;Vjeronauka;B;6;V10;Ramazanska večer;Ne;;Ne;;Ne;;;2;;ZS-125;2;;NI-125;0;;;0;;
1;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;"O čovjeku kao jedinom moralnom biću na zemlji; Čovjek je najuzvišenije biće na zemlji";Da;nejednakost ZPM-6-a, ZPM-6-c;Da;odgovornost ZPM-5-b, ZPM-5-c;Da;pobožnost;redukcija, mistifikacija;2;;ZS-5-a, ZPM-5;2;;ZS-7-a, ZPM-5;2;;ZS-6, ZPM-5;0;;
2;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;"O moralnom zakonu; Pisani ili natprirodni moralni zakon";Da;nejednakost ZPM-8-a;Da;odgovornost ZS-9-a, ZPM-8-c, ZPM-9-a, ZPM-9-b, ZPM-9-c, ZPM-10-a, jednakost ZPM-8-d;Da;pobožnost;redukcija, mistifikacija;2;;;2;;ZS-9-a;2;;ZS-9-c;0;;
3;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;"Starozavjetni I novozavjetni moralni zakon; Dvije Hristove zapovijesti o ljubavi";Ne;;Da;solidarnost ZPM-11-d, odgovornost ZPM-12-a;Da;pobožnost;redukcija, mistifikacija;2;;ZS-13-a;2;;ZS-13-c;2;;ZS-13-b;0;;
4;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;"Narušavanje moralnog zakona; Vrste grijeha; lakši I teški smrtni grijesi";Da;osvetoljubivost ZS-15-b;Ne;;Ne;;;2;;ZS-14;2;;ZS-18 ;2;ZPM-16-h;;0;;
5;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;Pokajanje I borba protiv grijah;Ne;;Da;odgovornost ZPM-19-a, solidarnost ZPM-20-b;Da;pobožnost;redukcija, mistifikacija;2;;ZS-21-a;2;;ZS-21-b ;2;;ZS-20-a;0;;
6;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;"O savjesti I slobodi volje; O savjest; O slobodi volje";Ne;;Da;odgovornost ZS-23-b, ZPM-22-a, ZPM-22-a, ZPM-22-b, ZPM-22-c, ZPM-22-d, ZPM-23-c, ZPM-23-d, život ZPM-22-a, ZPM-22-b, ZPM-22-c, ZPM-22-d;Da;pobožnost ZS-23-b;redukcija, mistifikacija;0;;ZPM-22;2;;ZS-23-c, ZPM-22-a, ZPM-22-b, ZPM-22-c, ZPM-23-a, ZPM-23-b;0;;;0;;
7;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;O hršćanskim dužnostima;Ne;;Da;odgovornost ZS-24, ZS-25-a, ZPM-24-d;Da;pobožnost ZS-24, ZS-25-a;redukcija, mistifikacija;2;;ZPM-24-a, ZPM-24-b, ZPM-24-c;2;;ZS-25-b;0;;;0;;
8;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;Hrišćanske vrline: vjera, nada i ljubav;Da;neprijateljstvo ZS-26-a, ZS-27-c, pluralizamkaoproblem ZPM-26-b, ZPM-26-c, ZPM-26-d;Da;odgovornost  ZPM-26-a, solidarnost ZPM-27-a, ZPM-27-b, ZPM-27-c, ZPM-27-d;Da;pobožnost;redukcija, mistifikacija, insinuacija;2;ZPM-27-e;ZPM-26-a, ZPM-26-b, ZPM-26-c, ZPM-26-d, ZPM-27-a, ZPM-27-b;2;;ZS-27-b;2;;ZPM-26-a, ZPM-26-b, ZPM-26-c, ZPM-26-d;2;;ZS-26-a
9;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;Hiršćanske vrline;Ne;;Da;solidarnost ZS-28, ZS-29, ZS-30-a, ZPM-29-b, ZPM-29-c, ZPM-29-d, život ZPM-28-a, ZPM-29-a, ZPM-30-a, odgovornost ZPM-28-a, ZPM-28-c, ZPM-29-a, saradnja ZPM-30-a, ZPM-30-b, ZPM-30-c;Da;pobožnost ZS-30-a;redukcija;2;;ZPM-28-a, ZPM-28-b, ZPM-28-c;2;;ZS-30-b, ZPM-28-a, ZPM-28-b, ZPM-28-c;2;;ZPM-28-a, ZPM-28-b, ZPM-28-c;0;;
10;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;Grijesi protiv hrišćanskih vrlina;Ne;;Da;jednakost ZPM-31-b;Da;pobožnost;redukcija;2;;ZPM-28-a, ZPM-28-b, ZPM-28-c;2;;ZS-33;2;;;2;;ZS-32-a
11;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;O postu;Ne;;Ne;;Ne;;;2;;ZPM-34-a, ZPM-34-b;2;;ZS-35;2;;;0;;
12;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;O zavjetu I zakletvi - Zavjeti, Zakletva;Ne;;Da;saradnja ZPM-36-a;Da;pobožnost;redukcija;2;;;2;;ZS-37;0;;;0;;
13;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;Stupnjevi duhovnog usavršavanja htišćana prema Hristovoj besjedi na gori;Ne;;Da;život ZPM-38-a, ZPM-39-a, mir ZPM-39-b;Da;pobožnost;redukcija;2;;ZS-38;2;;ZS-40;2;;;0;;
14;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;O smirenosti I pokajanju u vezi sa prvim I drugim blaženstvom;Ne;;Ne;;Ne;;;2;;ZPM-41, ZPM-42;2;;ZS-42;0;;;0;;
15;ZS/ZMP;Pravoslavna vjeronauka;S;9;V9;O krotosti I pravdi - Treće I četvrto blaženstvo;Ne;;Da;mir ZPM-43-a, jednakost, odgovornost ZPM-44-b;Da;pobožnost;redukcija;2;;ZS-43, ZS-44a;2;;ZS-44-b;2;;ZPM-43, ZPM-44;0;;
